# SCORE: target × method × node (y @ tree top, bind bottom_d)
# nodes: 16 low-nibble sweep; 14 evaluable
# eps=1e-02

# Summary (eps=1e-02)

| target | best_mlp_in | best_fourier_in | best_eml_in | best_eml_byte | eml_pass_n | winner_tes | winner_in_rmse |
|--------|-------------|-----------------|-------------|---------------|-----------|------------|----------------|
| exp | 8.3913e-05 | 1.1057e-02 | 9.5013e-01 | 5 | 0/14 | eml b=9 | mlp |
| exp_sin | 1.6142e-04 | 1.7562e-02 | 9.5421e-01 | 11 | 0/14 | eml b=9 | mlp |
| info_pattern | 8.9370e-02 | 7.5209e-04 | 6.0585e-01 | 14 | 0/14 | fourier | fourier |
| log | 3.6508e-04 | 4.9034e-03 | 5.9322e-01 | 3 | 0/14 | eml b=1 | mlp |
| sin | 2.5585e-04 | 5.5819e-04 | 4.6191e-01 | 13 | 0/14 | fourier | mlp |
| sin_exp | 3.5531e-05 | 2.5730e-03 | 2.0688e-01 | 15 | 0/14 | fourier | mlp |
| stock_pattern | 8.5148e-03 | 6.0242e-03 | 1.0458e+00 | 9 | 0/14 | eml b=9 | fourier |

# Detail

| target | method | byte | n_eml | x_slot | bind_leaf | in_rmse | ood_rmse | ood_ratio | n_params | complexity | compute | steps | pass | TES |
|--------|--------|------|-------|--------|-----------|---------|----------|-----------|----------|------------|---------|-------|------|-----|
| sin | mlp |  |  |  |  | 2.5585e-04 | 2.6779e-01 | 1046.65 | 13 | 13.00 | 1.94e+04 | 1387 | Y | 5.1485e-05 |
| sin | fourier |  |  |  |  | 5.5819e-04 | 7.7886e-04 | 1.40 | 6 | 6.00 | 2.59e+03 | 370 | Y | 3.8588e-04 |
| sin | eml | 1 | 1 | L | 0 | 2.0218e+00 | 3.1213e+00 | 1.54 | 3 | 3.41 | 1.71e+03 | FAIL | N | 1.9401e-04 |
| sin | eml | 2 | 2 | L | 0 | 3.2237e+26 | 6.7453e+23 | 0.00 | 4 | 8.49 | 4.24e+03 | FAIL | N | 7.3095e-31 |
| sin | eml | 3 | 3 | L | 0 | 1.8735e+00 | 3.5326e+00 | 1.89 | 5 | 21.47 | 1.07e+04 | FAIL | N | 3.2415e-05 |
| sin | eml | 4 | 4 | L | 0 | 1.7085e+00 | 5.4100e+00 | 3.17 | 6 | 56.21 | 2.81e+04 | FAIL | N | 1.3137e-05 |
| sin | eml | 5 | 5 | L | 0 | 1.5706e+00 | 1.4521e+00 | 0.92 | 7 | 150.20 | 7.51e+04 | FAIL | N | 5.1798e-06 |
| sin | eml | 6 | 6 | L | 0 | 8.0799e-01 | 5.8728e-01 | 0.73 | 8 | 405.37 | 2.03e+05 | FAIL | N | 2.7288e-06 |
| sin | eml | 7 | 7 | L | 0 | 1.7626e+00 | 1.5668e+00 | 0.89 | 9 | 1098.71 | 5.49e+05 | FAIL | N | 6.5891e-07 |
| sin | eml | 9 | 1 | R | 0 | 1.0535e+00 | 3.2012e+00 | 3.04 | 3 | 3.41 | 1.71e+03 | FAIL | N | 2.8549e-04 |
| sin | eml | 10 | 2 | R | 0 | 2.2172e+00 | 3.1934e+00 | 1.44 | 4 | 8.49 | 4.24e+03 | FAIL | N | 7.3244e-05 |
| sin | eml | 11 | 3 | R | 0 | 1.1901e+00 | 9.3845e-01 | 0.79 | 5 | 21.47 | 1.07e+04 | FAIL | N | 4.2530e-05 |
| sin | eml | 12 | 4 | R | 0 | 1.5589e+00 | 1.4043e+00 | 0.90 | 6 | 56.21 | 2.81e+04 | FAIL | N | 1.3905e-05 |
| sin | eml | 13 | 5 | R | 0 | 4.6191e-01 | 2.9923e+01 | 64.78 | 7 | 150.20 | 7.51e+04 | FAIL | N | 9.1080e-06 |
| sin | eml | 14 | 6 | R | 0 | 1.4804e+00 | 1.3860e+00 | 0.94 | 8 | 405.37 | 2.03e+05 | FAIL | N | 1.9891e-06 |
| sin | eml | 15 | 7 | R | 0 | 1.9657e+00 | 1.7679e+00 | 0.90 | 9 | 1098.71 | 5.49e+05 | FAIL | N | 6.1378e-07 |
| exp | mlp |  |  |  |  | 8.3913e-05 | 4.8326e-01 | 5759.03 | 13 | 13.00 | 7.27e+03 | 519 | Y | 1.3762e-04 |
| exp | fourier |  |  |  |  | 1.1057e-02 | 3.5248e+00 | 318.78 | 66 | 66.00 | 3.35e+04 | FAIL | N | 2.9524e-05 |
| exp | eml | 1 | 1 | L | 0 | 1.3486e+00 | 4.1813e+00 | 3.10 | 3 | 3.41 | 1.71e+03 | FAIL | N | 2.4962e-04 |
| exp | eml | 2 | 2 | L | 0 | 7.1087e+48 | 1.4874e+46 | 0.00 | 4 | 8.49 | 4.24e+03 | FAIL | N | 3.3148e-53 |
| exp | eml | 3 | 3 | L | 0 | 1.2641e+00 | 3.0600e+00 | 2.42 | 5 | 21.47 | 1.07e+04 | FAIL | N | 4.1140e-05 |
| exp | eml | 4 | 4 | L | 0 | 1.0795e+00 | 5.8988e+01 | 54.65 | 6 | 56.21 | 2.81e+04 | FAIL | N | 1.7111e-05 |
| exp | eml | 5 | 5 | L | 0 | 9.5013e-01 | 3.7343e+00 | 3.93 | 7 | 150.20 | 7.51e+04 | FAIL | N | 6.8278e-06 |
| exp | eml | 6 | 6 | L | 0 | 1.3647e+00 | 3.3830e+00 | 2.48 | 8 | 405.37 | 2.03e+05 | FAIL | N | 2.0864e-06 |
| exp | eml | 7 | 7 | L | 0 | 2.2011e+00 | 4.0765e+00 | 1.85 | 9 | 1098.71 | 5.49e+05 | FAIL | N | 5.6866e-07 |
| exp | eml | 9 | 1 | R | 0 | 1.0541e+00 | 2.5255e+00 | 2.40 | 3 | 3.41 | 1.71e+03 | FAIL | N | 2.8541e-04 |
| exp | eml | 10 | 2 | R | 0 | 1.7883e+00 | 3.7513e+00 | 2.10 | 4 | 8.49 | 4.24e+03 | FAIL | N | 8.4509e-05 |
| exp | eml | 11 | 3 | R | 0 | 1.7212e+00 | 3.7186e+00 | 2.16 | 5 | 21.47 | 1.07e+04 | FAIL | N | 3.4230e-05 |
| exp | eml | 12 | 4 | R | 0 | 1.1861e+00 | 2.8107e+00 | 2.37 | 6 | 56.21 | 2.81e+04 | FAIL | N | 1.6277e-05 |
